RAJ,    06:52:11.106
DECJ,    -01:42:30.3
RAJ,    06:53:15.09
DECJ,    80:52:00.22
RAJ,    06:56:30.207
DECJ,    -22:28:25.55
RAJ,    06:56:48.990
DECJ,    -54:49:14.92
RAJ,    06:58:15.209
DECJ,    +00:22:35.3
RAJ,    06:59:48.134
DECJ,    14:14:21.5
RAJ,    07:00:37.802
DECJ,    64:18:11.20
RAJ,    07:02:39.3
DECJ,    -49:56:34.2
RAJ,    07:09:32.533
DECJ,    -59:23:55.60
RAJ,    07:11:36.18
DECJ,    +09:31:25
RAJ,    07:11:54.189114
DECJ,    -68:30:47.41446
RAJ,    07:19:07.380
DECJ,    -25:45:00.23
RAJ,    07:20:24.9620
DECJ,    -31:25:50.083
RAJ,    07:21:42.9047
DECJ,    -20:38:07.061
RAJ,    07:26:08.12
DECJ,    -26:12:38.1
RAJ,    07:29:16.45
DECJ,    -14:48:36.8
RAJ,    07:33:24.60
DECJ,    -23:45:56.2
RAJ,    07:34
DECJ,    -15:59
RAJ,    07:35:22
DECJ,    -62:58
RAJ,    07:37:44.071
DECJ,    -22:02:05.32
RAJ,    07:37:51.248419
DECJ,    -30:39:40.71431
RAJ,    07:37:51.248419
DECJ,    -30:39:40.71431
RAJ,    07:37
DECJ,    +69:14
RAJ,    07:38:32.329
DECJ,    -40:42:40.94
RAJ,    07:41
DECJ,    +41:04
RAJ,    07:42:49.058
DECJ,    -28:22:43.76
RAJ,    07:42
DECJ,    +66:20
RAJ,    07:45:02.3
DECJ,    -53:51:22
RAJ,    07:46:59.518
DECJ,    -45:29:26.65
RAJ,    07:46
DECJ,    +66:36
RAJ,    07:49:49.675
DECJ,    -42:47:42.14
RAJ,    07:50
DECJ,    +57:00
RAJ,    07:54:40.688
DECJ,    32:31:56.2
RAJ,    07:58:29.0708
DECJ,    -15:28:08.738
RAJ,    08:04:22.20
DECJ,    -36:47:35.5
RAJ,    08:06:05
DECJ,    +08:17
RAJ,    08:06:23.40
DECJ,    -41:22:30.9
RAJ,    08:07:47.185
DECJ,    -54:21:26.46
RAJ,    08:08:11.63
DECJ,    -39:37:52.9
RAJ,    08:09:43.890
DECJ,    -47:53:55.14
RAJ,    08:12:14.802
DECJ,    -39:05:48.92
RAJ,    08:14:59.50
DECJ,    74:29:05.70
RAJ,    08:15:08.776
DECJ,    +09:39:50.7
RAJ,    08:18:49.3
DECJ,    -30:49:31
RAJ,    08:18:25.935
DECJ,    -32:32:30.53
RAJ,    08:20:26.3817
DECJ,    -13:50:55.859
RAJ,    08:20:59.932
DECJ,    -38:26:42.88
RAJ,    08:20:49.11
DECJ,    -39:21:55.7
RAJ,    08:20:15.45
DECJ,    -41:14:36.4
RAJ,    08:21:44.636
DECJ,    -42:21:25.46
RAJ,    08:21:57.3653
DECJ,    -43:00:17.074
RAJ,    08:23:9.768
DECJ,    01:59:12.41
RAJ,    08:24:16
DECJ,    +00:27
RAJ,    08:26:51.3833
DECJ,    26:37:23.79
RAJ,    08:31:32.43
DECJ,    -44:06:11.9
RAJ,    08:34:16.3
DECJ,    -41:59:51
RAJ,    08:34:50
DECJ,    -60:35
RAJ,    08:35:03.08
DECJ,    -37:07:51.5
RAJ,    08:35:37
DECJ,    -42:32:37
RAJ,    08:35:20.61149
DECJ,    -45:10:34.8751
RAJ,    08:37:05.642
