    05:11:56.50,    -65:08:36.5
    05:14:06.6927,    -40:02:48.897
    05:14:51.84,    -44:07:06.5
    05:17:10,    +22:16
    05:19,44
    05:20,    +54:25
    05:19:46.917,    -69:32:23.48
    05:21:44,    -68:35
    05:22:23.06,    -68:47:02.2
    05:25:56.4483,    11:15:19.08
    05:26:00.9,    -66:04:36.3
    05:28:52.264,    +22:00:04
    05:29:50.92,    -66:52:38.2
    05:32:59.51,    -66:39:37.3
    05:32:04,    -69:46
    05:33:25.82,    04:02:00.5
    05:33,67
    05:34:31.973,    +22:00:52.06
    05:34:36.17,    -67:03:48.8
    05:35:40,    -66:52
    05:35,    -69:35
    05:36:30.79,    -75:43:56.7
    05:37:43,    -69:21
    05:37:47.416,    -69:10:19.88
    05:38:25.0572,    +28:17:09.161
    05:40:37.116,    +32:07:37.3
    05:40:11.202,    -69:19:54.17
    05:40:30.8,    -71:25:31.4
    05:42:35,    -68:16
    05:43:9.660,    23:29:05
    05:43:52.71,    -68:51:25.3
    05:45,    -03:10
    05:46:28.76,    +24:41:21
    05:54:05.01,    +31:07:41
    05:55,    +39:48
    05:55:01.85,    -70:56:45.6
    05:57:31.44918,    +15:50:06.046
    06:00:46.5,    -57:56:54
    06:01:58.9821,    -05:27:50.56
    06:05,37
    06:08:49,    +00:39
    06:09:58.8861,    +21:30:2.84
    06:10:13.59214,    -21:00:28.0158
    06:11,    +37:18
    06:11:16,    30:16
    06:13:43.975503,    -02:00:47.21147
    06:13:12.150,    +37:31:38.3
    06:14:17.16,    22:30:36
    06:14:10.3478,    -33:29:54.118
    06:14,    +83:14
    06:21:11.221,    +03:36:45.52
    06:21:22.11108,    +10:02:38.741
    06:21,25
    06:22:10.51,    +37:49:13.6
    06:23:46.759,    +03:40:06.8
    06:25:45,    +10:16
    06:27:53.6286,    +06:49:54.13
    06:27:44.175,    +07:06:33.3
    06:27:13,    16:12
    06:28:36.183,    +09:09:13.9
    06:29:05.728,    24:15:43.3
    06:30:26.956,    -00:46:05.85
    06:30:49.404393,    -28:34:42.77881
    06:31:27.524,    +10:37:02.5
    06:33:44.21,    +06:32:34.9
    06:33:54.1530,    +17:46:12.909
    06:33:08.86,    -20:15:07.1
    06:35:18,    +05:33:11
    06:36:33.744,    -45:49:32.62
    06:36:04.84645,    +51:28:59.9625
    06:45:59.081898,    +51:58:14.9208
    06:46,    +80:09
    06:46:30.995,    +09:05:49.3
    06:47:15.68,    +09:13:59.5
    06:52:11.106,    -01:42:30.3
    06:53:15.09,    80:52:00.22
    06:56:30.207,    -22:28:25.55
    06:56:48.990,    -54:49:14.92
    06:58:15.209,    +00:22:35.3
    06:59:48.134,    14:14:21.5
    07:00:37.802,    64:18:11.20
    07:02:39.3,    -49:56:34.2
    07:09:32.533,    -59:23:55.60
    07:11:36.18,    +09:31:25
    07:11:54.189114,    -68:30:47.41446
    07:19:07.380,    -25:45:00.23
    07:20:24.9620,    -31:25:50.083
    07:21:42.9047,    -20:38:07.061
    07:26:08.12,    -26:12:38.1
    07:29:16.45,    -14:48:36.8
    07:33:24.60,    -23:45:56.2
    07:34,    -15:59
    07:35:22,    -62:58
    07:37:44.071,    -22:02:05.32
    07:37:51.248419,    -30:39:40.71431
    07:37:51.248419,    -30:39:40.71431
    07:37,    +69:14
    07:38:32.329,    -40:42:40.94
    07:41,    +41:04
